Name,Formula,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Sample_2.raw (F4),Sample_6.raw (F8),Sample_7.raw (F9),Sample_12.raw (F15),Sample_15.raw (F18),Sample_17.raw (F21),Sample_2a.raw (F33),Sample_6a.raw (F37),Sample_7a.raw (F38),Sample_12a.raw (F44),Sample_15a.raw (F47),Sample_17a.raw (F50),QC9.raw (F1),QC10.raw (F2),QC11.raw (F11),QC12.raw (F20),Solvent_Blank.raw (F27),QC13.raw (F28),QC14.raw (F29),QCB4.raw (F30),QCB5.raw (F31),QCB6.raw (F40),QCB7.raw (F49),QCB8.raw (F56),QCB9.raw (F57),Sample_1.raw (F3),Sample_3.raw (F5),Sample_4.raw (F6),Sample_5.raw (F7),Sample_10.raw (F13),Sample_11.raw (F14),Sample_14.raw (F17),Sample_16.raw (F19),Sample_18.raw (F22),Sample_19.raw (F23),Sample_20.raw (F24),Sample_1a.raw (F32),Sample_3a.raw (F34),Sample_4a.raw (F35),Sample_5a.raw (F36),Sample_10a.raw (F42),Sample_11a.raw (F43),Sample_14a.raw (F46),Sample_16a.raw (F48),Sample_18a.raw (F51),Sample_19a.raw (F52),Sample_20a.raw (F53),Sample_8.raw (F10),Sample_13.raw (F16),Sample_8a.raw (F39),Sample_13a.raw (F45)
Isovalerylcarnitine,C12 H23 N O4,0.26,245.16277,246.17005,3.49,511839102.1,541964477.6,669505517.5,907044343.3,462511125.3,568466496.7,176667676.3,177091174.4,235917574.6,226543726.7,281994095.3,317073090.9,312842245.8,312862182.5,312029341,310721551.5,830047.162,320188691,312861610.5,107768892.5,109432976.5,108724699.3,107129758.5,108869406.9,112780641.9,78092681.88,56558123.91,729516247.3,116545685.3,73352500.3,113170814,101491735.5,115631208.7,83946761.48,103508996.7,93508784.54,33490425.26,15833487.65,346036565.7,50880230.42,51872669.18,38802574.64,22911066.86,36970906.72,25059736.41,29432768.46,34533998.82,39180346.01,63481540.53,16450821.65,47510046.38
Phenylalanine,C9 H11 N O2,0.5,165.07906,166.08634,4.013,279220161.9,281272774.8,259407514.4,271767379.1,275586546,207351505,59158308.25,78848403.9,170072004.4,89073516,124378133.5,180507763.8,216630168.5,218561624.1,211850951.1,204214606.2,4129996.951,209819170.4,215733177.4,105901467.4,106029529.9,103725664.6,102576596.1,105090476.2,102124611.8,153831991.7,209964341.8,267015384.1,202597968,150391919.5,207448838.5,224172129.2,188797136.3,143780697.8,178520919.5,185996908.4,73305551.87,48999145.37,192564808.1,85951547.39,134071174.8,107200776.3,93402332.91,111198475.1,96582329.58,132614718.1,97283486.83,127707474.2,174603682.1,99032842.61,84819761.19
Creatinine,C4 H7 N3 O,-1.64,113.05873,114.066,2.705,110539010.7,132089199.8,103029858.7,96346328.88,125087219.7,66972083.96,27346986.5,42505296.97,132569481.2,44693041.36,62943231.05,134745326.3,100731420.9,100794600.8,97744208.95,101135337.8,3476669.41,100049526.7,99250894.02,78185824.2,78609343.57,78766511.71,80926003.04,78004121.58,78588667.33,98690219.67,184325714.6,133493126.5,81492474.05,87537953.89,99414508.07,121199441.1,58493099.56,67412704.93,74290730.4,85191792.86,47598857.35,43734694.39,161374980.6,55772614.89,125005659.9,85103932.18,84219269.69,83712969.26,84099350.36,115951765,80384708,131117628.3,52068640.3,111731675.1,52285191.68
D-(-)-Alanine,C3 H7 N O2,-1.99,89.0475,90.05478,5.289,87376651.4,78761441.36,85954249.36,93949673.63,73210207.22,71309923.73,25008337.5,29453972.8,41753804.78,37066276.07,49134639.5,44849398.33,64256100.71,65177805.93,64384831.97,65206566.01,2254618.32,67424630.83,63918106.04,31981130.54,32360412.71,32260672.49,31907518.2,32523946.13,33454628.2,35064671.49,53942924.17,88473948.1,39629838.42,54488311.65,41236458.89,50333829.39,42077168.56,47211896.07,47407438.54,57329668.98,25670702.09,21190262.21,51307326.21,21278497.37,36726121.89,18701796.02,19459905.86,20171962.41,28050087.24,29333726.96,30071981.13,44066246.03,117326399.3,27969329.83,56727003.2
Biotin,C10 H16 N2 O3 S,0.17,244.0882,245.09548,1.211,50733971.73,46276864.67,42932894.61,44693855.07,30313890.33,40488909.52,12030743.08,16125479.9,38033869.73,21921184.21,19395955.35,47579051.86,36878330.66,36063622.85,36547265.76,35799174.45,73135.80432,36053810.2,37101352.18,24649939.17,25687265.03,25193181.66,25716996.34,25302681.05,24953431.65,29201886.89,44788443.89,43570079.67,26727958.87,29294130.87,28306851.62,37879611.04,23162106.22,24990981.57,29826463.8,32933617.45,18918042.5,13842421.18,35728018.32,22350035.39,34311587.61,26986661.82,25949146.35,18606391.33,23436272.94,38926724.07,25566403.48,21513119.42,34478856.48,28078064.01,23332732.01
[Similar to: Phenylethanolamine; ?Mass: -35.0372 Da],C8 H6,-1.25,102.04682,120.08065,4.01,42063844.02,41407058.76,37977568.02,40451558.26,40656046.39,30686569.84,7919217.033,11217288.28,24981045.84,12479452.23,17352936.49,26156063.49,32468546.59,32169160.72,31446707.42,30036919.38,289765.2801,30919574.13,31743057.8,15119605.66,14991751.59,15171858.78,14587333.76,15163164.14,14878221.43,22614064.71,30957080.87,39067123.14,29628270.7,21680531.17,30528395.44,32860192.42,27178035.85,21025369.07,25412038.87,26702863.05,10075826.66,6511817.21,28620945.89,11988097.95,19544104.67,15031454.79,13028339.92,15535726.53,13613106.21,19142825.13,14009895.75,18072696.78,25514591.93,14162823.47,11931158.84
,C8 H9 N,-1.01,119.07338,120.08066,4.01,42063844.02,41407058.76,37977568.02,40451558.26,40656046.39,30686569.84,7919217.033,11217288.28,24981045.84,12479452.23,17352936.49,26156063.49,32468546.59,32169160.72,31446707.42,30036919.38,285539.7956,30919574.13,31743057.8,15119605.66,14991751.59,15171858.78,14587333.76,15163164.14,14824712.06,22614064.71,30957080.87,39067123.14,29628270.7,21680531.17,30528395.44,32860192.42,27178035.85,21025369.07,25412038.87,26702863.05,10075826.66,6511817.21,28620945.89,11988097.95,19544104.67,15031454.79,13028339.92,15535726.53,13613106.21,19142825.13,14009895.75,18072696.78,25514591.93,14162823.47,11931158.84
DL-Tryptophan,C11 H12 N2 O2,-0.92,204.08969,205.0969,4.351,30292574.05,29014487.02,28078012.62,30029694.59,30885438.89,22117628.47,6038343.549,8937612.032,16094709.07,9757121.353,13193924.28,18156899.55,21439389.57,21068764.85,21024459.03,20734572.7,26647.32506,22491182.75,21491384.36,9981019.512,10119307.52,10208258.68,10051872.32,10412317.65,9514501.074,15633928.2,20313343.22,29228951.85,17062195.4,14877225.09,20850736.99,23391270.89,19354599.53,12900396.84,18520768.79,18054128.51,7200115.738,5323119.331,20652439.23,8723510.228,13249436.26,9653212.277,8559629.538,10923404.54,8003457.511,12847447.24,9342260.959,12929325.65,17941646.19,9394815.84,8637556.59
trans-3-Indoleacrylic acid,C11 H9 N O2,-0.88,187.06316,205.09693,4.35,30292574.05,29014487.02,28078012.62,30029694.59,30885438.89,22117628.47,6038343.549,8937612.032,16094709.07,9757121.353,13193924.28,18156899.55,21439389.57,21068764.85,21024459.03,20734572.7,26928.90541,22491182.75,21491384.36,9981019.512,10119307.52,10208258.68,10051872.32,10412317.65,9514501.074,15633928.2,20313343.22,29228951.85,17062195.4,14877225.09,20850736.99,23391270.89,18827886.03,12900396.84,18520768.79,18054128.51,7200115.738,5323119.331,20652439.23,8723510.228,13249436.26,9653212.277,8559629.538,10923404.54,8003457.511,12847447.24,9342260.959,12929325.65,17941646.19,9394815.84,8637556.59
,C5 H9 N2 O P S,0.16,176.01735,177.02463,5.751,22856969.82,22275344.42,23423587.76,26389208.07,21960870.62,18434603.12,5147719.367,5504427.65,10397491.25,7914551.73,12737021.42,12674381.35,16856263.68,16876856.81,18333083.4,17311749.02,30012.56076,18309618.56,18202397.27,7437768.655,7712669.078,8065840.801,7763138.442,8258703.788,8205068.273,7334263.409,14229967.57,25788210.62,9419873.834,11726133.74,14008887.31,13165279.63,13670166.15,10693885.03,12305125.86,15850312.51,4539565.012,4796055.338,15476140.77,3463913.515,7246445.332,5429436.189,4631708.324,6115082.112,6061414.02,6816696.224,7907731.227,8763349.687,26476426,4953425.46,11614063.6
